state,state_code,year,study_location,origin,stayers,unattributed,german_location,net_inflow,net_inflow_incl_foreign,outflow,inflow,first_years_location,ever_treated,intro_year,treated,east,city_state,fee,rel,unattr_share,ni_per1k,ni_incl_per1k
Brandenburg,12,2003,7374.0,9100,3012,1272,6102.0,-2998.0,-1726.0,6088,3090.0,7374,0,,0,1,0,never treated,,17.249796582587468,-329.45054945054943,-189.67032967032966
Brandenburg,12,2004,7040.0,8747,2872,1173,5867.0,-2880.0,-1707.0,5875,2995.0,7040,0,,0,1,0,never treated,,16.661931818181817,-329.25574482679775,-195.1526237567166
Brandenburg,12,2005,6840.0,8606,2665,1282,5558.0,-3048.0,-1766.0,5941,2893.0,6840,0,,0,1,0,never treated,,18.742690058479532,-354.1715082500581,-205.20567046246805
Brandenburg,12,2006,6983.0,8237,2527,1215,5768.0,-2469.0,-1254.0,5710,3241.0,6983,0,,0,1,0,never treated,,17.399398539309754,-299.74505281048926,-152.23989316498725
Brandenburg,12,2007,8080.0,9027,2866,1222,6858.0,-2169.0,-947.0,6161,3992.0,8080,0,,0,1,0,never treated,,15.123762376237623,-240.27916251246262,-104.90749972305306
Mecklenburg-Vorpommern,13,2003,6457.0,6233,3557,694,5763.0,-470.0,224.0,2676,2206.0,6457,0,,0,1,0,never treated,,10.74802539879201,-75.40510187710572,35.937750681854645
Mecklenburg-Vorpommern,13,2004,6555.0,5856,3389,696,5859.0,3.0,699.0,2467,2470.0,6555,0,,0,1,0,never treated,,10.617848970251716,0.5122950819672131,119.36475409836065
Mecklenburg-Vorpommern,13,2005,5700.0,5651,2966,626,5074.0,-577.0,49.0,2685,2108.0,5700,0,,0,1,0,never treated,,10.982456140350877,-102.1058219784109,8.67103167580959
Mecklenburg-Vorpommern,13,2006,5945.0,5655,2951,647,5298.0,-357.0,290.0,2704,2347.0,5945,0,,0,1,0,never treated,,10.88309503784693,-63.12997347480106,51.282051282051285
Mecklenburg-Vorpommern,13,2007,6370.0,6002,3070,637,5733.0,-269.0,368.0,2932,2663.0,6370,0,,0,1,0,never treated,,10.0,-44.81839386871043,61.31289570143286
Sachsen,14,2003,20184.0,15889,11406,2421,17763.0,1874.0,4295.0,4483,6357.0,20184,0,,0,1,0,never treated,,11.994649227110582,117.94323116621563,270.31279501541945
Sachsen,14,2004,18853.0,15339,10586,2674,16179.0,840.0,3514.0,4753,5593.0,18853,0,,0,1,0,never treated,,14.183419084495837,54.76237042831997,229.08924962513854
Sachsen,14,2005,18316.0,14776,10066,2541,15775.0,999.0,3540.0,4710,5709.0,18316,0,,0,1,0,never treated,,13.873116400960908,67.60963724959393,239.57769355711966
Sachsen,14,2006,17343.0,14477,9424,2655,14688.0,211.0,2866.0,5053,5264.0,17343,0,,0,1,0,never treated,,15.308770108977685,14.574842854182496,197.96919251226083
Sachsen,14,2007,19687.0,15400,10326,2544,17143.0,1743.0,4287.0,5074,6817.0,19687,0,,0,1,0,never treated,,12.92223294559862,113.18181818181819,278.3766233766234
Sachsen-Anhalt,15,2003,9906.0,9196,5172,943,8963.0,-233.0,710.0,4024,3791.0,9906,0,,0,1,0,never treated,,9.519483141530385,-25.337103088299262,77.20748151370161
Sachsen-Anhalt,15,2004,9409.0,8968,4992,1000,8409.0,-559.0,441.0,3976,3417.0,9409,0,,0,1,0,never treated,,10.628122010840684,-62.332738626226586,49.174843889384476
Sachsen-Anhalt,15,2005,7806.0,8594,4346,791,7015.0,-1579.0,-788.0,4248,2669.0,7806,0,,0,1,0,never treated,,10.13323084806559,-183.73283686292763,-91.6918780544566
Sachsen-Anhalt,15,2006,7824.0,8129,4089,813,7011.0,-1118.0,-305.0,4040,2922.0,7824,0,,0,1,0,never treated,,10.391104294478527,-137.5322917948087,-37.51999015869111
Sachsen-Anhalt,15,2007,8757.0,10363,4864,755,8002.0,-2361.0,-1606.0,5499,3138.0,8757,0,,0,1,0,never treated,,8.621674089299988,-227.82977902151887,-154.9744282543665
Thüringen,16,2003,8724.0,9605,5122,961,7763.0,-1842.0,-881.0,4483,2641.0,8724,0,,0,1,0,never treated,,11.015589179275562,-191.7751171264966,-91.72306090577824
Thüringen,16,2004,8460.0,9151,4734,831,7629.0,-1522.0,-691.0,4417,2895.0,8460,0,,0,1,0,never treated,,9.822695035460994,-166.32062069719157,-75.51087312861982
Thüringen,16,2005,8553.0,9167,4640,769,7784.0,-1383.0,-614.0,4527,3144.0,8553,0,,0,1,0,never treated,,8.990997310885069,-150.8672411912294,-66.97938256790663
Thüringen,16,2006,8594.0,8905,4536,924,7670.0,-1235.0,-311.0,4369,3134.0,8594,0,,0,1,0,never treated,,10.751687223644403,-138.68613138686132,-34.92419988770354
Thüringen,16,2007,9254.0,8988,4635,947,8307.0,-681.0,266.0,4353,3672.0,9254,0,,0,1,0,never treated,,10.233412578344499,-75.76769025367156,29.595015576323988
